Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
accommodation-and-food-services,Accommodation and Food Services,accommodation-and-food-services,,0,
administrative-and-support-services,Administrative and Support Services,administrative-and-support-services,,1,
all,All,all,,2,
construction,Construction,construction,,3,
health-care-and-social-assistance,Health Care and Social Assistance,health-care-and-social-assistance,,4,
information-media-and-telecommunications,Information Media and Telecommunications,information-media-and-telecommunications,,5,
manufacturing,Manufacturing,manufacturing,,6,
other-services,Other Services,other-services,,7,
professional-scientific-and-technical-services,"Professional, Scientific and Technical Services",professional-scientific-and-technical-services,,8,
rental-hiring-and-real-estate-services,"Rental, Hiring and Real Estate Services",rental-hiring-and-real-estate-services,,9,
retail-trade,Retail Trade,retail-trade,,10,
